page_url,image_url,text_surrogate
https://harrypotter.fandom.com/wiki/Mr_Mulpepper%27s_Apothecary,https://static.wikia.nocookie.net/harrypotter/images/c/c1/MrMulpeppersApothecary2.jpg,Mr Mulpepper's Apothecary | Harry Potter Wiki | Fandom MrMulpeppersApothecary2
https://harrypotter.fandom.com/wiki/Uric_the_Oddball,https://static.wikia.nocookie.net/harrypotter/images/e/e6/Uric_the_Oddball_HM.png,Uric the Oddball | Harry Potter Wiki | Fandom Uric the Oddball HM
https://harrypotter.fandom.com/wiki/Steffan_Rhodri,https://static.wikia.nocookie.net/harrypotter/images/1/11/Steffan_Rhodri.jpg,Steffan Rhodri | Harry Potter Wiki | Fandom Steffan Rhodri as Reg Cattermole
https://harrypotter.fandom.com/wiki/Crispa_Culpepper%27s_Drugs_%26_Preparations,https://static.wikia.nocookie.net/harrypotter/images/9/9b/Crispa_Culpepper%27s_Drugs_%26_Preparations.png,Crispa Culpepper's Drugs & Preparations | Harry Potter Wiki | Fandom Crispa Culpepper's Drugs & Preparations
https://harrypotter.fandom.com/wiki/St_Mungo%27s_Hospital_for_Magical_Maladies_and_Injuries,https://static.wikia.nocookie.net/harrypotter/images/7/70/St_Mungo%27s_emblem.webp/revision/latest/scale-to-width-down/268?cb=20220429023312,St Mungo's Hospital for Magical Maladies and Injuries | Harry Potter Wiki | Fandom St Mungo's emblem
https://harrypotter.fandom.com/wiki/Mandrake_Mufflers,https://static.wikia.nocookie.net/harrypotter/images/1/14/Mandrake_Mufflers.png,Mandrake Mufflers | Harry Potter Wiki | Fandom Mandrake Mufflers
https://harrypotter.fandom.com/wiki/Curse,https://static.wikia.nocookie.net/harrypotter/images/0/05/Lily_murder.gif/revision/latest?cb=20140811025532,Curse | Harry Potter Wiki | Fandom Lily murder
https://harrypotter.fandom.com/wiki/Peter_Pettigrew%27s_second_wand,https://static.wikia.nocookie.net/harrypotter/images/9/9e/Peter_Petreigree_wand.webp/revision/latest/scale-to-width-down/268?cb=20240901010551,Peter Pettigrew's wand | Harry Potter Wiki | Fandom Peter Petreigree wand
https://harrypotter.fandom.com/wiki/Antonin_Dolohov,https://static.wikia.nocookie.net/harrypotter/images/7/74/Dolohov-0.jpg,Antonin Dolohov | Harry Potter Wiki | Fandom Dolohov-0
https://harrypotter.fandom.com/wiki/Marauders,https://static.wikia.nocookie.net/harrypotter/images/c/cc/Marauders_1997.jpg,Marauders | Harry Potter Wiki | Fandom Marauders 1997
https://harrypotter.fandom.com/wiki/Transfiguration_(class),https://static.wikia.nocookie.net/harrypotter/images/e/e4/TransfigurationHPCard.jpg,Transfiguration (class) | Harry Potter Wiki | Fandom TransfigurationHPCard
https://harrypotter.fandom.com/wiki/Blinkhorn%27s_workshop,https://static.wikia.nocookie.net/harrypotter/images/3/3e/Blinkhorn_the_Bootmaker.png,Blinkhorn's workshop | Harry Potter Wiki | Fandom Blinkhorn the Bootmaker
https://harrypotter.fandom.com/wiki/Hengist_of_Upper_Barnton,https://static.wikia.nocookie.net/harrypotter/images/c/c9/Hengist_of_Upper_Barnton.png,Hengist of Upper Barnton | Harry Potter Wiki | Fandom Hengist of Upper Barnton
https://harrypotter.fandom.com/wiki/Cheering_Charm,https://static.wikia.nocookie.net/harrypotter/images/5/56/Cheering_Charm_HM_Spell_Icon.png,Cheering Charm | Harry Potter Wiki | Fandom Cheering Charm HM Spell Icon
https://harrypotter.fandom.com/wiki/Susan_Bones,https://static.wikia.nocookie.net/harrypotter/images/7/77/Susan01.png,Susan Bones | Harry Potter Wiki | Fandom Susan01
https://harrypotter.fandom.com/wiki/Flourish_and_Blotts,https://static.wikia.nocookie.net/harrypotter/images/a/a8/Flourish_and_Blotts_sign.jpg,Flourish and Blotts | Harry Potter Wiki | Fandom Flourish and Blotts sign
https://harrypotter.fandom.com/wiki/Slug-vomiting_Charm,https://static.wikia.nocookie.net/harrypotter/images/0/04/B2C7M1_cropped_Ron_vomiting_slugs.png,Slug-vomiting Charm | Harry Potter Wiki | Fandom B2C7M1 cropped Ron vomiting slugs
https://harrypotter.fandom.com/wiki/Dark_charm,https://static.wikia.nocookie.net/harrypotter/images/d/d0/Cedric%27s_Death.gif/revision/latest?cb=20120825164555,Dark charm | Harry Potter Wiki | Fandom Cedric's Death
https://harrypotter.fandom.com/wiki/Broomstick,https://static.wikia.nocookie.net/harrypotter/images/8/8d/Broomsticks.jpg,Broomstick | Harry Potter Wiki | Fandom Broomsticks
https://harrypotter.fandom.com/wiki/Serpent_of_Slytherin,https://static.wikia.nocookie.net/harrypotter/images/9/9a/Basilisk2.PNG/revision/latest/scale-to-width-down/268?cb=20090822212528,Serpent of Slytherin | Harry Potter Wiki | Fandom Basilisk2
https://harrypotter.fandom.com/wiki/Herpo_the_Foul,https://static.wikia.nocookie.net/harrypotter/images/1/18/HerpotheFoul.png,Herpo the Foul | Harry Potter Wiki | Fandom HerpotheFoul
https://harrypotter.fandom.com/wiki/Hestia_Jones,https://static.wikia.nocookie.net/harrypotter/images/d/d8/Hestia_Jones.jpg,Hestia Jones | Harry Potter Wiki | Fandom Hestia Jones
https://harrypotter.fandom.com/es/wiki/Ron_Weasley,https://static.wikia.nocookie.net/esharrypotter/images/6/69/P7_promo_Ron_Weasley.jpg,Ronald Weasley | Harry Potter Wiki | Fandom P7 promo Ron Weasley
https://harrypotter.fandom.com/wiki/Harper,https://static.wikia.nocookie.net/harrypotter/images/f/f9/Harper.png,Harper | Harry Potter Wiki | Fandom Harper
https://harrypotter.fandom.com/wiki/Department_of_Mysteries,https://static.wikia.nocookie.net/harrypotter/images/6/66/Department_of_Mysteries.png,Department of Mysteries | Harry Potter Wiki | Fandom Department of Mysteries
